prog	TPR	PPV	F1
STAR_FUSION_v1.5	0.84	0.79	0.814
ARRIBA_hc	0.76	0.7	0.729
ARRIBA_hc	0.7	0.76	0.729
STARSEQR	0.88	0.59	0.706
ChimPipe	0.55	0.97	0.702
TrinityFusion-C	0.56	0.94	0.702
ARRIBA	0.8	0.62	0.699
ARRIBA	0.73	0.67	0.699
TrinityFusion-UC	0.53	0.89	0.664
SOAP-fuse	0.5	0.81	0.618
TrinityFusion-D	0.44	0.9	0.591
MapSplice	0.64	0.53	0.58
STARCHIP_csm10_pGm2_May012019	0.47	0.74	0.575
FUSIONCATCHER_v1.10_June192019	0.66	0.5	0.569
InFusion	0.65	0.49	0.559
PRADA	0.38	0.9	0.534
TopHat-Fusion	0.65	0.45	0.532
JAFFA-Assembly	0.56	0.48	0.517
JAFFA-Direct	0.77	0.35	0.481
PIZZLY	0.48	0.44	0.459
FusionHunter	0.2	0.63	0.304
FusionHunter	0.2	0.63	0.304
JAFFA-Hybrid	0.59	0.2	0.299
ChimeraScan	0.3	0.25	0.273
deFuse	0.4	0.18	0.248
nFuse	0.46	0.15	0.226
EricScript	0.32	0.1	0.152
